task_id,model,dimension,judge_score
18_excel_column_title,opus,correctness,5
18_excel_column_title,opus,completeness,5
18_excel_column_title,opus,code_quality,5
18_excel_column_title,opus,instruction_adherence,5
16_multiply_strings,opus,correctness,5
16_multiply_strings,opus,completeness,5
16_multiply_strings,opus,code_quality,5
16_multiply_strings,opus,instruction_adherence,5
02_valid_parentheses,opus,correctness,5
02_valid_parentheses,opus,completeness,5
02_valid_parentheses,opus,code_quality,5
02_valid_parentheses,opus,instruction_adherence,5
03_fizzbuzz,opus,correctness,5
03_fizzbuzz,opus,completeness,5
03_fizzbuzz,opus,code_quality,5
03_fizzbuzz,opus,instruction_adherence,5
23_my_atoi,sonnet,correctness,5
23_my_atoi,sonnet,completeness,5
23_my_atoi,sonnet,code_quality,5
23_my_atoi,sonnet,instruction_adherence,5
09_binary_search,opus,correctness,5
09_binary_search,opus,completeness,5
09_binary_search,opus,code_quality,5
09_binary_search,opus,instruction_adherence,5
17_simplify_path,sonnet,correctness,5
17_simplify_path,sonnet,completeness,5
17_simplify_path,sonnet,code_quality,5
17_simplify_path,sonnet,instruction_adherence,5
17_simplify_path,planted,correctness,2
17_simplify_path,planted,completeness,3
17_simplify_path,planted,code_quality,4
17_simplify_path,planted,instruction_adherence,3
16_multiply_strings,sonnet,correctness,5
16_multiply_strings,sonnet,completeness,5
16_multiply_strings,sonnet,code_quality,5
16_multiply_strings,sonnet,instruction_adherence,5
06_merge_intervals,opus,correctness,5
06_merge_intervals,opus,completeness,5
06_merge_intervals,opus,code_quality,5
06_merge_intervals,opus,instruction_adherence,5
08_group_anagrams,opus,correctness,5
08_group_anagrams,opus,completeness,5
08_group_anagrams,opus,code_quality,5
08_group_anagrams,opus,instruction_adherence,5
15_product_except_self,opus,correctness,5
15_product_except_self,opus,completeness,5
15_product_except_self,opus,code_quality,5
15_product_except_self,opus,instruction_adherence,5
04_is_palindrome,opus,correctness,5
04_is_palindrome,opus,completeness,5
04_is_palindrome,opus,code_quality,5
04_is_palindrome,opus,instruction_adherence,5
22_valid_ipv4,planted,correctness,2
22_valid_ipv4,planted,completeness,3
22_valid_ipv4,planted,code_quality,4
22_valid_ipv4,planted,instruction_adherence,3
12_spiral_order,opus,correctness,5
12_spiral_order,opus,completeness,5
12_spiral_order,opus,code_quality,5
12_spiral_order,opus,instruction_adherence,5
14_length_of_longest_substring,planted,correctness,5
14_length_of_longest_substring,planted,completeness,5
14_length_of_longest_substring,planted,code_quality,5
14_length_of_longest_substring,planted,instruction_adherence,5
01_two_sum,opus,correctness,5
01_two_sum,opus,completeness,5
01_two_sum,opus,code_quality,5
01_two_sum,opus,instruction_adherence,5
15_product_except_self,sonnet,correctness,5
15_product_except_self,sonnet,completeness,5
15_product_except_self,sonnet,code_quality,5
15_product_except_self,sonnet,instruction_adherence,5
11_move_zeroes,sonnet,correctness,5
11_move_zeroes,sonnet,completeness,5
11_move_zeroes,sonnet,code_quality,5
11_move_zeroes,sonnet,instruction_adherence,5
01_two_sum,sonnet,correctness,5
01_two_sum,sonnet,completeness,5
01_two_sum,sonnet,code_quality,5
01_two_sum,sonnet,instruction_adherence,5
18_excel_column_title,sonnet,correctness,5
18_excel_column_title,sonnet,completeness,5
18_excel_column_title,sonnet,code_quality,5
18_excel_column_title,sonnet,instruction_adherence,5
23_my_atoi,opus,correctness,5
23_my_atoi,opus,completeness,5
23_my_atoi,opus,code_quality,5
23_my_atoi,opus,instruction_adherence,5
23_my_atoi,planted,correctness,2
23_my_atoi,planted,completeness,3
23_my_atoi,planted,code_quality,4
23_my_atoi,planted,instruction_adherence,3
05_roman_to_int,opus,correctness,5
05_roman_to_int,opus,completeness,5
05_roman_to_int,opus,code_quality,5
05_roman_to_int,opus,instruction_adherence,5
10_longest_common_prefix,sonnet,correctness,5
10_longest_common_prefix,sonnet,completeness,5
10_longest_common_prefix,sonnet,code_quality,5
10_longest_common_prefix,sonnet,instruction_adherence,5
16_multiply_strings,planted,correctness,5
16_multiply_strings,planted,completeness,5
16_multiply_strings,planted,code_quality,5
16_multiply_strings,planted,instruction_adherence,5
07_max_subarray,opus,correctness,5
07_max_subarray,opus,completeness,5
07_max_subarray,opus,code_quality,5
07_max_subarray,opus,instruction_adherence,5
12_spiral_order,sonnet,correctness,5
12_spiral_order,sonnet,completeness,5
12_spiral_order,sonnet,code_quality,5
12_spiral_order,sonnet,instruction_adherence,5
14_length_of_longest_substring,opus,correctness,5
14_length_of_longest_substring,opus,completeness,5
14_length_of_longest_substring,opus,code_quality,5
14_length_of_longest_substring,opus,instruction_adherence,5
12_spiral_order,planted,correctness,5
12_spiral_order,planted,completeness,5
12_spiral_order,planted,code_quality,4
12_spiral_order,planted,instruction_adherence,5
20_compare_version,opus,correctness,5
20_compare_version,opus,completeness,5
20_compare_version,opus,code_quality,5
20_compare_version,opus,instruction_adherence,5
20_compare_version,sonnet,correctness,5
20_compare_version,sonnet,completeness,5
20_compare_version,sonnet,code_quality,5
20_compare_version,sonnet,instruction_adherence,5
08_group_anagrams,sonnet,correctness,5
08_group_anagrams,sonnet,completeness,5
08_group_anagrams,sonnet,code_quality,5
08_group_anagrams,sonnet,instruction_adherence,5
09_binary_search,planted,correctness,2
09_binary_search,planted,completeness,2
09_binary_search,planted,code_quality,4
09_binary_search,planted,instruction_adherence,3
22_valid_ipv4,opus,correctness,5
22_valid_ipv4,opus,completeness,5
22_valid_ipv4,opus,code_quality,5
22_valid_ipv4,opus,instruction_adherence,5
11_move_zeroes,opus,correctness,5
11_move_zeroes,opus,completeness,5
11_move_zeroes,opus,code_quality,5
11_move_zeroes,opus,instruction_adherence,5
14_length_of_longest_substring,sonnet,correctness,5
14_length_of_longest_substring,sonnet,completeness,5
14_length_of_longest_substring,sonnet,code_quality,5
14_length_of_longest_substring,sonnet,instruction_adherence,5
05_roman_to_int,sonnet,correctness,5
05_roman_to_int,sonnet,completeness,5
05_roman_to_int,sonnet,code_quality,5
05_roman_to_int,sonnet,instruction_adherence,5
04_is_palindrome,sonnet,correctness,5
04_is_palindrome,sonnet,completeness,5
04_is_palindrome,sonnet,code_quality,5
04_is_palindrome,sonnet,instruction_adherence,5
06_merge_intervals,planted,correctness,2
06_merge_intervals,planted,completeness,2
06_merge_intervals,planted,code_quality,4
06_merge_intervals,planted,instruction_adherence,3
13_climb_stairs,sonnet,correctness,5
13_climb_stairs,sonnet,completeness,5
13_climb_stairs,sonnet,code_quality,5
13_climb_stairs,sonnet,instruction_adherence,5
02_valid_parentheses,sonnet,correctness,5
02_valid_parentheses,sonnet,completeness,5
02_valid_parentheses,sonnet,code_quality,5
02_valid_parentheses,sonnet,instruction_adherence,5
07_max_subarray,sonnet,correctness,5
07_max_subarray,sonnet,completeness,5
07_max_subarray,sonnet,code_quality,5
07_max_subarray,sonnet,instruction_adherence,5
