opaque_id,task_id,dimension,human_score
S35,23_my_atoi,correctness,
S35,23_my_atoi,completeness,
S35,23_my_atoi,code_quality,
S35,23_my_atoi,instruction_adherence,
S36,23_my_atoi,correctness,
S36,23_my_atoi,completeness,
S36,23_my_atoi,code_quality,
S36,23_my_atoi,instruction_adherence,
S37,05_roman_to_int,correctness,
S37,05_roman_to_int,completeness,
S37,05_roman_to_int,code_quality,
S37,05_roman_to_int,instruction_adherence,
S38,10_longest_common_prefix,correctness,
S38,10_longest_common_prefix,completeness,
S38,10_longest_common_prefix,code_quality,
S38,10_longest_common_prefix,instruction_adherence,
S39,16_multiply_strings,correctness,
S39,16_multiply_strings,completeness,
S39,16_multiply_strings,code_quality,
S39,16_multiply_strings,instruction_adherence,
S40,07_max_subarray,correctness,
S40,07_max_subarray,completeness,
S40,07_max_subarray,code_quality,
S40,07_max_subarray,instruction_adherence,
S41,12_spiral_order,correctness,
S41,12_spiral_order,completeness,
S41,12_spiral_order,code_quality,
S41,12_spiral_order,instruction_adherence,
S42,14_length_of_longest_substring,correctness,
S42,14_length_of_longest_substring,completeness,
S42,14_length_of_longest_substring,code_quality,
S42,14_length_of_longest_substring,instruction_adherence,
S43,12_spiral_order,correctness,
S43,12_spiral_order,completeness,
S43,12_spiral_order,code_quality,
S43,12_spiral_order,instruction_adherence,
S44,20_compare_version,correctness,
S44,20_compare_version,completeness,
S44,20_compare_version,code_quality,
S44,20_compare_version,instruction_adherence,
S45,20_compare_version,correctness,
S45,20_compare_version,completeness,
S45,20_compare_version,code_quality,
S45,20_compare_version,instruction_adherence,
S46,08_group_anagrams,correctness,
S46,08_group_anagrams,completeness,
S46,08_group_anagrams,code_quality,
S46,08_group_anagrams,instruction_adherence,
S47,09_binary_search,correctness,
S47,09_binary_search,completeness,
S47,09_binary_search,code_quality,
S47,09_binary_search,instruction_adherence,
S48,22_valid_ipv4,correctness,
S48,22_valid_ipv4,completeness,
S48,22_valid_ipv4,code_quality,
S48,22_valid_ipv4,instruction_adherence,
S49,11_move_zeroes,correctness,
S49,11_move_zeroes,completeness,
S49,11_move_zeroes,code_quality,
S49,11_move_zeroes,instruction_adherence,
S50,14_length_of_longest_substring,correctness,
S50,14_length_of_longest_substring,completeness,
S50,14_length_of_longest_substring,code_quality,
S50,14_length_of_longest_substring,instruction_adherence,
S51,05_roman_to_int,correctness,
S51,05_roman_to_int,completeness,
S51,05_roman_to_int,code_quality,
S51,05_roman_to_int,instruction_adherence,
S52,04_is_palindrome,correctness,
S52,04_is_palindrome,completeness,
S52,04_is_palindrome,code_quality,
S52,04_is_palindrome,instruction_adherence,
S53,06_merge_intervals,correctness,
S53,06_merge_intervals,completeness,
S53,06_merge_intervals,code_quality,
S53,06_merge_intervals,instruction_adherence,
S54,13_climb_stairs,correctness,
S54,13_climb_stairs,completeness,
S54,13_climb_stairs,code_quality,
S54,13_climb_stairs,instruction_adherence,
S55,02_valid_parentheses,correctness,
S55,02_valid_parentheses,completeness,
S55,02_valid_parentheses,code_quality,
S55,02_valid_parentheses,instruction_adherence,
S56,07_max_subarray,correctness,
S56,07_max_subarray,completeness,
S56,07_max_subarray,code_quality,
S56,07_max_subarray,instruction_adherence,
